site_no,code,description
01646500,lfalls,"Potomac River near Wash, DC Little Falls pump sta"
01638500,por,"Potomac River at Point of Rocks, MD"
01643000,mon_jug,"Monocacy River at Jug Bridge near Frederick, MD"
01636500,shen_mill,"Shenandoah River at Millville, WV"
01613000,hanc,"Potomac River at Hancock, MD"
01645000,seneca,"Seneca Creek at Dawsonville, MD"
01644000,goose,"Goose Creek near Leesburg, VA"
01616500,opequan,"Opequon Creek near Martinsburg, WV"
01603000,nbp_cumb,"North Branch Potomac River near Cumberland, MD"
01610000,paw,"Potomac River at Paw Paw, WV"
01614500,conoco,"Conococheague Creek at Fairfview, MD"
